0	0	1	2	3	4	98	99
1.1	0	0	1	0	0	0	0
1.2	0	0	1	0	0	0	0
1.3	0	0	0	0	1	0	0
1.4	0	0	0	1	0	0	0
1.5	0	0	0	1	0	0	0
1.6	0	1	0	0	0	0	0
1.7	0	0	1	0	0	0	0
1.8	0	0	0	0	1	0	0
1.9	0	0	0	1	0	0	0
1.10	0	0	0	1	0	0	0
1.11	0	0	0	1	0	0	0
1.12	0	0	1	0	0	0	0
1.13	0	1	0	0	0	0	0
1.14	0	0	0	0	1	0	0
1.15	0	1	0	0	0	0	0
1.16	0	0	0	0	1	0	0
1.17	0	0	0	0	1	0	0
1.18	0	0	1	0	0	0	0
1.19	0	0	0	1	0	0	0
1.20	0	0	1	0	0	0	0
1.21	0	0	1	0	0	0	0
1.22	0	0	0	0	1	0	0
1.23	0	0	0	1	0	0	0
1.24	0	0	0	1	0	0	0
1.25	0	0	1	0	0	0	0
1.26	0	0	1	0	0	0	0
1.27	0	0	0	0	1	0	0
1.28	0	0	0	0	1	0	0
1.29	0	0	1	0	0	0	0
1.30	0	0	1	0	0	0	0
1.31	0	0	1	0	0	0	0
1.32	0	0	0	1	0	0	0
1.33	0	0	1	0	0	0	0
1.34	0	0	0	0	1	0	0
1.35	0	0	0	1	0	0	0
1.36	0	0	0	0	1	0	0
1.37	0	0	0	1	0	0	0
2.1	0	1	0	0	0	0	0
2.2	0	1	0	0	0	0	0
2.3	0	1	0	0	0	0	0
2.4	0	1	0	0	0	0	0
2.5	1	0	0	0	0	0	0
2.6	1	0	0	0	0	0	0
2.7	0	1	0	0	0	0	0
2.8	0	1	0	0	0	0	0
2.9	0	1	0	0	0	0	0
2.10	0	1	0	0	0	0	0
2.11	1	0	0	0	0	0	0
2.12	0	1	0	0	0	0	0
2.13	0	1	0	0	0	0	0
2.14	1	0	0	0	0	0	0
2.15	1	0	0	0	0	0	0
2.16	0	1	0	0	0	0	0
2.17	0	1	0	0	0	0	0
2.18	1	0	0	0	0	0	0
2.19	1	0	0	0	0	0	0
2.20	1	0	0	0	0	0	0
2.21	0	1	0	0	0	0	0
2.22	1	0	0	0	0	0	0
2.23	0	1	0	0	0	0	0
2.24	0	1	0	0	0	0	0
2.25	0	1	0	0	0	0	0
2.26	1	0	0	0	0	0	0
2.27	0	1	0	0	0	0	0
2.28	1	0	0	0	0	0	0
2.29	0	1	0	0	0	0	0
2.30	1	0	0	0	0	0	0
2.31	0	1	0	0	0	0	0
2.32	1	0	0	0	0	0	0
2.33	0	1	0	0	0	0	0
2.34	1	0	0	0	0	0	0
2.35	0	1	0	0	0	0	0
2.36	0	1	0	0	0	0	0
2.37	1	0	0	0	0	0	0
2.38	1	0	0	0	0	0	0
2.39	1	0	0	0	0	0	0
2.40	1	0	0	0	0	0	0
2.41	1	0	0	0	0	0	0
2.42	0	1	0	0	0	0	0
2.43	0	1	0	0	0	0	0
2.44	0	1	0	0	0	0	0
2.45	1	0	0	0	0	0	0
2.46	0	1	0	0	0	0	0
2.47	0	1	0	0	0	0	0
2.48	0	1	0	0	0	0	0
2.49	1	0	0	0	0	0	0
2.50	1	0	0	0	0	0	0
2.51	1	0	0	0	0	0	0
2.52	1	0	0	0	0	0	0
2.53	1	0	0	0	0	0	0
2.54	1	0	0	0	0	0	0
2.55	1	0	0	0	0	0	0
2.56	1	0	0	0	0	0	0
2.57	0	1	0	0	0	0	0
